timestamp,pololu_acc_x,pololu_acc_y,pololu_acc_z,pololu_gyr_x,pololu_gyr_y,pololu_gyr_z,pololu_mag_x,pololu_mag_y,pololu_mag_z,pololu_baro
51947.60156,-9.853410721,-0.148495749,-0.03832148,0.005326485,-0.008522375,-0.007457078,0.592303216,-0.178716391,-0.167973876,97947.92188
51953.10156,-9.872571945,-0.105384074,-0.00958037,0.005326485,-0.007457078,-0.007457078,0.600115955,-0.181157872,-0.168462172,97951.36719
51958.60156,-9.891732216,-0.153285921,-0.028741112,0.005326485,-0.007457078,-0.007457078,0.586443663,-0.183111057,-0.169927061,97953.21875
51964.10156,-9.862991333,-0.134125188,-0.028741112,0.004261188,-0.006391782,-0.008522375,0.599627674,-0.180669576,-0.167973876,97954.75781
51969.60156,-9.858201027,-0.153285921,-0.033531297,0.005326485,-0.006391782,-0.009587673,0.596697927,-0.178228095,-0.168950468,97954.75781
51975.10156,-9.877362251,-0.148495749,-0.043111667,0.004261188,-0.005326485,-0.009587673,0.595233023,-0.180669576,-0.169438764,97957.90625
51980.60156,-9.877362251,-0.143705562,-0.052692037,0.004261188,-0.004261188,-0.01065297,0.596697927,-0.176274911,-0.170415357,97956.96094
51986.10156,-9.891732216,-0.158076108,0,0.005326485,-0.003195891,-0.01065297,0.591814935,-0.178228095,-0.169438764,97957.27344
51991.60156,-9.867781639,-0.134125188,-0.03832148,0.005326485,-0.001065297,-0.01065297,0.593279839,-0.176763207,-0.172856838,97954.51563
51997.10156,-9.877362251,-0.138915375,-0.07664296,0.005326485,-0.001065297,-0.011718267,0.591814935,-0.176274911,-0.16748558,97951.90625
52002.60156,-9.877362251,-0.148495749,-0.062272407,0.005326485,-0.001065297,-0.012783564,0.595721304,-0.178716391,-0.169438764,97951.71094
52008.10156,-9.853410721,-0.134125188,-0.081433147,0.005326485,0,-0.012783564,0.601092577,-0.184575945,-0.168950468,97951.02344
52013.60156,-9.829460144,-0.158076108,-0.067062594,0.005326485,0,-0.013848861,0.591326654,-0.182134464,-0.173345134,97951.14844
52019.10156,-9.872571945,-0.186817229,-0.062272407,0.005326485,0,-0.013848861,0.586932003,-0.182622761,-0.168462172,97950.95313
52024.60156,-9.843831062,-0.167656481,-0.057482224,0.005326485,-0.001065297,-0.012783564,0.597186208,-0.183599353,-0.171391949,97955.32031
52030.10156,-9.862991333,-0.158076108,-0.052692037,0.005326485,-0.001065297,-0.013848861,0.606952131,-0.183111057,-0.170415357,97954.95313
52035.60156,-9.843831062,-0.167656481,-0.047901854,0.005326485,-0.002130594,-0.011718267,0.601092577,-0.183599353,-0.167973876,97949.75781
52041.10156,-9.848620415,-0.205977961,-0.067062594,0.005326485,-0.003195891,-0.011718267,0.609393597,-0.181646168,-0.170415357,97950.34375
52046.60156,-9.824669838,-0.172446668,-0.057482224,0.005326485,-0.004261188,-0.009587673,0.60255748,-0.181157872,-0.171391949,97951.02344
52052.10156,-9.795928955,-0.158076108,-0.062272407,0.005326485,-0.006391782,-0.008522375,0.598651111,-0.187017426,-0.171880245,97952.64063
52057.60156,-9.848620415,-0.162866294,-0.062272407,0.005326485,-0.007457078,-0.006391782,0.599627674,-0.182622761,-0.170903653,97953.29688
52063.10156,-9.829460144,-0.167656481,-0.057482224,0.005326485,-0.009587673,-0.006391782,0.596209586,-0.182134464,-0.169927061,97955.34375
52068.60156,-9.824669838,-0.153285921,-0.062272407,0.005326485,-0.01065297,-0.005326485,0.596697927,-0.184575945,-0.170415357,97956.90625
52074.10156,-9.858201027,-0.158076108,-0.071852781,0.004261188,-0.012783564,-0.004261188,0.594744742,-0.183111057,-0.16748558,97950.19531
52079.60156,-9.858201027,-0.158076108,-0.043111667,0.004261188,-0.013848861,-0.003195891,0.586443663,-0.181646168,-0.168950468,97949.14844
52085.10156,-9.83425045,-0.138915375,-0.062272407,0.004261188,-0.013848861,-0.003195891,0.597186208,-0.180669576,-0.171391949,97949.875
52090.60156,-9.872571945,-0.134125188,-0.047901854,0.004261188,-0.013848861,-0.003195891,0.600115955,-0.18018128,-0.174321726,97949.875
52096.10156,-9.915683746,-0.134125188,-0.03832148,0.004261188,-0.012783564,-0.003195891,0.600604296,-0.184087649,-0.171391949,97950.19531
52101.60156,-9.882152557,-0.138915375,-0.03832148,0.004261188,-0.011718267,-0.005326485,0.59376812,-0.183599353,-0.171391949,97954.8125
52107.10156,-9.891732216,-0.148495749,-0.043111667,0.005326485,-0.009587673,-0.005326485,0.599627674,-0.185064241,-0.17383343,97952.66406
52112.60156,-9.939634323,-0.119754635,-0.023950927,0.005326485,-0.008522375,-0.008522375,0.595233023,-0.183111057,-0.175786614,97950.04688
52118.10156,-9.896522522,-0.129335001,-0.023950927,0.004261188,-0.007457078,-0.008522375,0.594256401,-0.181646168,-0.171880245,97952.4375
52123.60156,-9.915683746,-0.167656481,-0.023950927,0.005326485,-0.005326485,-0.009587673,0.596209586,-0.184575945,-0.174810022,97951.24219
52129.10156,-9.882152557,-0.172446668,-0.004790185,0.004261188,-0.003195891,-0.01065297,0.583513916,-0.181646168,-0.172368541,97952.60938
52134.60156,-9.891732216,-0.105384074,-0.01916074,0.005326485,-0.002130594,-0.011718267,0.592303216,-0.182622761,-0.172856838,97955.39844
52140.10156,-9.920474052,-0.177236855,-0.033531297,0.005326485,-0.001065297,-0.012783564,0.59376812,-0.179692984,-0.170415357,97956.07813
52145.60156,-9.815089226,-0.158076108,-0.033531297,0.004261188,0.001065297,-0.013848861,0.594256401,-0.180669576,-0.172368541,97955.73438
52151.10156,-9.88694191,-0.138915375,-0.023950927,0.006391782,0,-0.013848861,0.598651111,-0.184087649,-0.173345134,97955.51563
52156.60156,-9.891732216,-0.148495749,-0.052692037,0.005326485,0,-0.013848861,0.597186208,-0.183111057,-0.172856838,97956.25
52162.10156,-9.819879532,-0.129335001,-0.071852781,0.004261188,0.001065297,-0.013848861,0.596697927,-0.181157872,-0.172856838,97956.22656
52167.60156,-9.862991333,-0.177236855,-0.03832148,0.004261188,0,-0.013848861,0.595721304,-0.181157872,-0.171880245,97958.03125
52173.10156,-9.88694191,-0.119754635,-0.110174261,0.005326485,-0.001065297,-0.013848861,0.601580858,-0.181157872,-0.169438764,97956.17969
52178.60156,-9.877362251,-0.129335001,-0.086223334,0.005326485,0,-0.013848861,0.598651111,-0.179204687,-0.166020691,97954.14844
52184.10156,-9.767188072,-0.129335001,-0.119754635,0.004261188,0,-0.013848861,0.592791557,-0.180669576,-0.168950468,97956.20313
